,Age,G,GS,MP,3PAr,FTr,AST%,STL%,BLK%,TOV%,USG%,WS/48,VORP,3P%,2P%,FTA,FT%,AST,STL,BLK,TOV,Popularity,C,PPG,Allstar
0,22,29,0,342,0.027,0.507,5.2,2,3.5,15.6,14.7,0.157,0.2,0.5,0.562,38,0.816,11,13,15,17,131,0,4,0
1,26,52,5,713,0.012,0.595,8.3,1.3,3.1,13.1,15.6,0.064,-0.2,0,0.434,100,0.65,36,18,27,32,240,0,4.02,0
2,27,64,64,2307,0.265,0.246,14.6,0.9,0.4,12.1,22.5,0.042,-0.2,0.3,0.489,223,0.857,206,40,11,138,294,0,16.52,0
3,27,74,74,2790,0.011,0.264,13,1.2,2.5,8.9,26.5,0.124,2,0.143,0.488,348,0.81,192,62,91,143,56,0,21.08,1
4,23,79,37,1669,0.002,0.132,6.7,0.8,2.6,10.3,14.8,0.072,-0.3,0,0.455,60,0.717,73,24,55,55,153,1,5.76,0
5,37,79,0,2035,0.51,0.243,10.2,1.7,0.6,12.5,19.3,0.126,1.1,0.419,0.48,158,0.886,135,67,15,103,415,0,10.92,0
6,31,79,79,2109,0.038,0.293,7.6,3.1,1.7,11.5,17.8,0.115,1.8,0.125,0.458,187,0.717,98,119,44,94,668,0,8.92,0
7,22,76,71,2066,0.04,0.289,7.8,2.4,2.1,17.8,14.6,0.073,1.3,0.211,0.486,137,0.737,103,92,51,116,141,0,7.3,0
8,34,42,0,624,0.024,0.756,4,1.4,5.8,12.8,14.4,0.207,0.5,0.667,0.575,93,0.677,17,16,44,24,825,1,4.93,0
9,30,65,2,1495,0.463,0.239,11.7,1.7,0.4,10.5,23.6,0.052,0,0.333,0.426,147,0.857,103,48,7,80,1323,0,10.66,0
13,24,81,22,2503,0.5,0.161,6.9,0.9,1,7.5,24,0.125,2.1,0.382,0.464,180,0.844,97,42,31,97,192,0,16.16,0
14,28,67,67,2482,0.278,0.344,14.1,1.1,1.1,9.3,35.6,0.184,2.8,0.379,0.476,512,0.83,171,52,32,175,282,0,28.66,1
15,27,56,15,1471,0.463,0.211,12.7,2.5,1.1,14.6,17.9,0.102,1.3,0.364,0.463,95,0.821,113,72,20,84,211,0,9.46,0
16,24,59,3,970,0.05,0.128,5.9,1.3,2.8,10.2,20.1,0.084,-0.1,0.278,0.46,46,0.717,33,24,33,43,914,0,6.14,0
17,26,82,82,2464,0.002,0.487,4.6,0.9,2.7,18.8,16.3,0.108,0.5,0,0.542,299,0.562,75,46,87,173,507,1,10.15,0
18,25,76,5,1226,0.646,0.337,21.6,1.5,0.2,16.8,15.1,0.112,0,0.353,0.346,99,0.838,170,34,3,68,547,0,4.68,0
19,25,37,0,369,0.032,0.183,7.2,0.9,2.4,14.5,19.7,0.129,-0.1,0.5,0.484,23,0.913,15,6,12,23,736,0,3.92,0
20,23,62,0,730,0.761,0.056,6.2,1,0.5,8.4,16.4,0.047,-0.3,0.348,0.429,13,0.769,29,14,5,22,342,0,3.94,0
21,30,41,2,513,0.244,0.212,19,1.7,0.9,9.1,21.4,0.086,-0.1,0.383,0.445,41,0.756,58,17,6,21,236,0,5.24,0
22,28,74,2,1713,0.369,0.177,30.6,1,0,15.1,25.1,0.053,0.4,0.346,0.458,134,0.784,294,32,0,145,564,0,11.27,0
