,GS,FTr,BLK%,VORP,3P%,Popularity,C,Allstar
0,0,0.507,3.5,0.2,0.5,131,0,0
1,5,0.595,3.1,-0.2,0,240,0,0
2,64,0.246,0.4,-0.2,0.3,294,0,0
3,74,0.264,2.5,2,0.143,56,0,1
4,37,0.132,2.6,-0.3,0,153,1,0
5,0,0.243,0.6,1.1,0.419,415,0,0
6,79,0.293,1.7,1.8,0.125,668,0,0
7,71,0.289,2.1,1.3,0.211,141,0,0
8,0,0.756,5.8,0.5,0.667,825,1,0
9,2,0.239,0.4,0,0.333,1323,0,0
13,22,0.161,1,2.1,0.382,192,0,0
14,67,0.344,1.1,2.8,0.379,282,0,1
15,15,0.211,1.1,1.3,0.364,211,0,0
16,3,0.128,2.8,-0.1,0.278,914,0,0
17,82,0.487,2.7,0.5,0,507,1,0
18,5,0.337,0.2,0,0.353,547,0,0
19,0,0.183,2.4,-0.1,0.5,736,0,0
20,0,0.056,0.5,-0.3,0.348,342,0,0
21,2,0.212,0.9,-0.1,0.383,236,0,0
22,2,0.177,0,0.4,0.346,564,0,0
23,25,0.181,1.8,-0.6,0.309,311,0,0
24,81,0.303,0.5,-0.2,0.359,202,0,0
25,4,0.173,2.6,2.8,0.342,181,0,0
29,5,0.21,0.8,-0.8,0.138,256,0,0
30,69,0.255,2.3,0.4,0,178,0,0
31,20,0.105,2.5,1.8,0.43,471,0,0
32,73,0.252,2.2,3.8,0.372,322,0,0
33,4,0.196,0.8,0.8,0.353,413,0,0
34,0,0.333,3.1,-0.1,0,460,1,0
35,0,0.379,1.2,-0.2,0.294,194,0,0
36,46,0.231,1.3,0.9,0.386,476,0,0
37,20,0.164,1.6,-1.6,0.313,738,0,0
38,0,0.216,0.6,-0.2,0.292,796,0,0
39,27,0.275,0.2,-0.3,0.357,544,0,0
40,0,0.217,2.2,1,0.375,488,0,0
41,22,0.364,0.2,0.2,0.367,721,0,0
43,16,0.258,0.9,0.3,0,533,0,0
44,13,0.13,0.4,0.6,0.421,288,0,0
45,8,0.32,2.7,1.7,0.136,417,1,0
46,12,0.236,3,1.9,0.397,490,0,0
47,23,0.06,0.2,0.3,0.343,301,0,0
48,32,0.207,5.5,0.9,1,205,1,0
49,4,0.065,1.5,0.6,0.442,604,0,0
50,14,0.327,1.4,0.5,0,193,0,0
51,79,0.232,0.8,0.9,0,270,0,0
52,74,0.333,3.4,2,0.284,688,1,1
53,50,0.103,1,-0.2,0.317,574,0,0
54,18,0.195,4.6,0.9,0,599,1,0
55,2,0.245,0.9,1.1,0.296,392,0,0
59,2,0.281,1.3,0,0.273,287,0,0
60,22,0.219,0.8,0,0.277,1539,0,0
61,78,0.392,0.6,5.1,0.324,475,0,1
62,1,0.22,1.1,0,0.321,859,0,0
63,0,0.332,0.9,-0.2,0.359,667,0,0
64,78,0.125,0.5,0.2,0.388,313,0,0
65,20,0.455,1.1,2.1,0.381,286,0,0
66,0,0.243,0.3,-0.1,0.316,917,0,0
70,12,0.302,1.7,1.1,0.286,48,0,0
71,3,0.261,1.6,2.6,0.406,447,0,0
72,1,0.256,1.9,0,0.329,495,0,0
73,77,0.212,0.5,1.6,0.409,825,0,0
75,8,0.244,0.9,0.7,0.413,2034,0,0
76,0,0.095,1.5,0,0.333,332,0,0
77,36,0.197,2.3,0.4,0.337,1006,0,0
78,16,0.159,1.1,-0.3,0.287,840,0,0
79,4,0.188,0.4,-1,0.357,1193,0,0
83,47,0.38,0.3,1.3,0.353,494,0,0
84,2,0.264,1.4,1.8,0,1097,1,0
85,80,0.3,0.7,4.3,0.362,145,0,0
86,0,0.222,0,-0.1,0,1485,0,0
87,13,0.218,1.2,-0.1,0.421,195,0,0
88,74,0.408,1.9,1.7,0.182,246,1,0
89,0,0.244,0.5,0.8,0.376,703,0,0
93,16,0.199,1,0.5,0.328,115,0,0
94,9,0.154,1.5,0.5,0,184,0,0
95,0,0.143,0,0,0.667,773,0,0
96,78,0.21,0.3,5.6,0.453,175,0,1
97,23,0.217,5.1,0.1,1,539,1,0
98,33,0.154,0.7,-0.4,0.278,1080,0,0
99,60,0.333,5.1,2,0,954,0,1
100,33,0.245,1.5,-0.3,0,621,0,0
101,5,0.09,0.4,1.3,0.375,555,0,0
102,75,0.258,0.8,2.2,0.322,317,0,0
103,82,0.347,0.6,0.1,0.283,145,0,1
104,20,0.196,1.1,1.6,0.385,170,0,0
105,1,0.037,5.7,-0.1,0,1462,1,0
106,0,0.333,0,-0.1,0.417,970,0,0
110,0,0.714,0,0,0,804,0,0
111,77,0.36,0.8,2.2,0.319,54,0,0
112,10,0.465,6.1,1.4,0.5,489,1,0
113,50,0.242,0.3,1.7,0.391,449,0,0
114,9,0.106,0.1,-0.3,0.363,993,0,0
115,69,0.307,6.4,3.2,0.286,465,1,0
116,3,0.205,1.3,0.9,0.428,226,0,0
117,81,0.523,2.6,7.6,0.416,173,0,1
118,3,0.192,0.4,-0.3,0.273,1964,0,0
122,82,0.26,0.9,2.2,0.287,526,0,0
123,0,0.259,0.6,-0.2,0.28,2407,0,0
124,0,0.75,4.8,0.3,0,549,0,0
126,61,0.354,1,1.7,0.338,508,0,0
128,8,0.458,5.7,1.4,0,1016,0,0
129,68,0.145,0.5,1.3,0.36,104,0,0
130,22,0.238,0.6,0,0.143,377,0,0
134,4,0.257,0.2,0.1,0.407,196,0,0
135,72,0.195,0.9,0.9,0.41,212,0,0
136,0,0.242,0.2,-0.4,0.417,401,0,0
138,71,0.4,1.2,2.5,0.373,659,0,0
142,68,0.236,2.4,1.5,0.125,722,1,0
143,0,0.204,0,-0.2,0.2,654,0,0
144,80,0.364,4.1,5.7,0.071,901,1,0
145,42,0.307,2.7,1.5,0.286,419,0,0
